ID Group,Word
0,for
0,with
0,on
0,based
0,data
0,disease
0,diagnosis
0,high
0,magnetic
0,system
1,detection
1,decision
1,records
1,distance
1,outliers
1,via
1,reinstatement
1,assemblage
1,learning
1,aqueous
2,between
2,state
2,implementation
2,research
2,policy
2,recovery
2,terahertz
2,art
2,ultrafast
2,error
3,study
3,a
3,to
3,from
3,in
3,dna
3,case
3,factors
3,eye
3,unknown
4,evolutionary
4,alcohol
4,preface
4,survey
4,dental
4,developmental
4,care
4,botanical
4,examining
4,school
5,effect
5,properties
5,energy
5,hybrid
5,spin
5,drug
5,polymer
5,physical
5,=
5,active
6,assessment
6,modeling
6,structure
6,thermal
6,experimental
6,their
6,into
6,carbon
6,simulations
6,human
7,of
7,and
7,in
7,the
7,by
7,using
7,for
7,testing
7,dynamics
7,toward
8,characteristics
8,local
8,quantum
8,transfer
8,chemical
8,systems
8,impact
8,structures
8,films
8,single
9,of
9,the
9,and
9,in
9,a
9,with
9,using
9,an
9,to
9,on
