ID Group,Word
0,pesticide
0,"damage,"
0,oxidative
0,and
0,haemoglobin
0,organo-phosphorus
0,level
0,leukocyte
0,acute
0,total
1,pesticide
1,"damage,"
1,and
1,leukocyte
1,organo-phosphorus
1,haemoglobin
1,acute
1,"poisoning,"
1,oxidative
1,level
2,"damage,"
2,pesticide
2,level
2,acute
2,organo-phosphorus
2,oxidative
2,and
2,total
2,"poisoning,"
2,leukocyte
3,oxidative
3,organo-phosphorus
3,leukocyte
3,pesticide
3,haemoglobin
3,and
3,"damage,"
3,acute
3,"poisoning,"
3,total
4,organo-phosphorus
4,pesticide
4,and
4,"damage,"
4,oxidative
4,haemoglobin
4,acute
4,leukocyte
4,"poisoning,"
4,level
5,total
5,"poisoning,"
5,level
5,haemoglobin
5,leukocyte
5,and
5,"damage,"
5,acute
5,oxidative
5,organo-phosphorus
6,and
6,organo-phosphorus
6,oxidative
6,leukocyte
6,level
6,"damage,"
6,pesticide
6,acute
6,"poisoning,"
6,haemoglobin
7,oxidative
7,organo-phosphorus
7,acute
7,pesticide
7,and
7,"damage,"
7,haemoglobin
7,leukocyte
7,level
7,"poisoning,"
8,acute
8,pesticide
8,oxidative
8,organo-phosphorus
8,leukocyte
8,"damage,"
8,and
8,haemoglobin
8,total
8,level
9,acute
9,pesticide
9,"poisoning,"
9,level
9,total
9,and
9,leukocyte
9,oxidative
9,organo-phosphorus
9,haemoglobin
