ID Group,Word
0,catalyst
0,methyl
0,drug
0,phase
0,crystalline
0,process
0,lyotropic
0,delivery
0,critical
0,niomgo
1,inf
1,surface
1,dependence
1,chemistry
1,reflection
1,importance
1,noble
1,tio
1,co
1,wavelength
2,catalyst
2,pt
2,highly
2,synthesis
2,naphthalene
2,hy
2,assist
2,zeolite
2,efficient
2,welldisperse
3,biomedical
3,application
3,delivery
3,lyotropic
3,crystalline
3,liquid
3,drug
3,phase
3,deep
3,zeolite
4,catalyst
4,drug
4,phase
4,liquid
4,inf
4,process
4,implant
4,dexamethasone
4,control
4,manufacture
5,phase
5,drug
5,liquid
5,crystalline
5,lyotropic
5,application
5,biomedical
5,delivery
5,catalyst
5,control
6,inf
6,exploration
6,wavelength
6,photoreduction
6,reflection
6,dependence
6,co
6,surface
6,tio
6,photocatalyst
7,methyl
7,catalyst
7,methanol
7,highperformance
7,preparation
7,reaction
7,acrylate
7,niomgo
7,addition
7,delivery
8,attribute
8,implant
8,critical
8,dexamethasone
8,process
8,intravitreal
8,quality
8,manufacture
8,control
8,catalyst
9,synthesis
9,assist
9,naphthalene
9,ozonation
9,highly
9,welldisperse
9,pt
9,hy
9,hydrogenation
9,efficient
