ID Group,Word
0,inf
0,classical
0,human
0,psychedelic
0,present
0,metabolomic
0,metabolic
0,study
0,future
0,focus
1,inf
1,classical
1,human
1,psychedelic
1,present
1,metabolomic
1,metabolic
1,study
1,future
1,focus
2,agency
2,distribution
2,shuffle
2,thing
2,inf
2,focus
2,human
2,classical
2,present
2,future
3,efficient
3,deep
3,naphthalene
3,hydrogenation
3,hy
3,highly
3,pt
3,zeolite
3,assist
3,synthesis
4,cell
4,insituoperando
4,chemiresistive
4,spectroscopy
4,sensor
4,x
4,feo
4,acetone
4,xray
4,absorption
5,delivery
5,application
5,phase
5,liquid
5,crystalline
5,biomedical
5,drug
5,lyotropic
5,inf
5,present
6,inf
6,classical
6,human
6,psychedelic
6,present
6,metabolomic
6,metabolic
6,study
6,future
6,focus
7,quality
7,control
7,critical
7,dexamethasone
7,implant
7,intravitreal
7,manufacture
7,process
7,attribute
7,inf
8,methyl
8,catalyst
8,reaction
8,acrylate
8,addition
8,highperformance
8,methanol
8,preparation
8,niomgo
8,inf
9,inf
9,importance
9,tio
9,chemistry
9,co
9,exploration
9,dependence
9,photoreduction
9,noble
9,reflection
