ID Group,Word
0,quantum
0,information
0,cultural
0,network
0,modeling
0,framework
0,highly
0,metal
0,critical
0,neural
1,model
1,system
1,via
1,liquid
1,processing
1,prediction
1,visual
1,multiple
1,spectral
1,sensing
2,of
2,and
2,for
2,a
2,by
2,properties
2,to
2,through
2,case
2,synthesis
3,transition
3,complex
3,learning
3,evaluation
3,models
3,chemical
3,during
3,classification
3,structures
3,electron
4,of
4,the
4,and
4,in
4,a
4,on
4,for
4,to
4,an
4,study
5,from
5,cells
5,their
5,cancer
5,waves
5,simulation
5,separation
5,value
5,nonlinear
5,two-dimensional
6,in
6,for
6,and
6,as
6,social
6,a
6,new
6,between
6,theory
6,detection
7,using
7,control
7,hybrid
7,adaptive
7,heterogeneous
7,introduction
7,scale
7,wireless
7,visualization
7,reactions
8,for
8,data
8,at
8,application
8,design
8,method
8,phase
8,efficient
8,big
8,molecular
9,with
9,structure
9,future
9,how
9,porous
9,hiv
9,first
9,catalysts
9,elastic
9,associated
